author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
;;https://dolgoprudny.cian.ru/sale/flat/282489923/;Долгопрудный;sale;flat;18;18;2;63.7;13766697;;;к2;Водники;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308561269/;Долгопрудный;sale;flat;10;23;2;52.1;15190000;;Парковая ;54;Долгопрудная;
Альфалот;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308775890/;Долгопрудный;sale;flat;13;17;2;39.5;1935000;;Корабельная ;1;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/299772854/;Долгопрудный;sale;flat;8;18;3;94.8;20175954;;;к2;Водники;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308568163/;Долгопрудный;sale;flat;9;18;1;44.0;10550000;;Московская ;56к3;Водники;Московские водники
Святослав Голованов;realtor;https://dolgoprudny.cian.ru/sale/flat/307711060/;Долгопрудный;sale;flat;1;2;1;33.0;4700000;;Северная ;2;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/285618301/;Долгопрудный;sale;flat;13;18;3;83.1;17594772;;;к2;Водники;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308192211/;Долгопрудный;sale;flat;5;23;1;36.8;6800000;;Парковая ;46к1;Водники;Бригантина
ID 31556;realtor;https://dolgoprudny.cian.ru/sale/flat/308781051/;Долгопрудный;sale;flat;3;16;1;35.0;7300000;;проспект Пацаева;17;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/294460546/;Долгопрудный;sale;flat;23;23;3;68.8;14491552;;;;Хлебниково;Бригантина ЖК
ID 119235442;homeowner;https://dolgoprudny.cian.ru/sale/flat/304961831/;Долгопрудный;sale;flat;24;26;1;49.0;11800000;;Лихачевский проспект;80к1;Долгопрудная;
Лариса Калина;realtor;https://dolgoprudny.cian.ru/sale/flat/308736324/;Долгопрудный;sale;flat;19;21;2;66.1;11990000;;проспект Ракетостроителей;7к1;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/306627890/;Долгопрудный;sale;flat;9;23;2;49.2;11550530;;;;Хлебниково;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/301129872/;Долгопрудный;sale;flat;2;17;3;71.18;17000000;;Набережная ;29;Водники;Московские водники
Татьяна Карпова;realtor;https://dolgoprudny.cian.ru/sale/flat/308824074/;Долгопрудный;sale;flat;2;5;2;41.6;6900000;; Циолковского;13;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/293100101/;Долгопрудный;sale;flat;15;23;2;44.2;9019051;;;;Водники;Бригантина ЖК
Место;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308096342/;Долгопрудный;sale;flat;3;18;3;84.4;18100000;;Московская ;58к3;Водники;Московские водники
Виктор Клевицкий;realtor;https://dolgoprudny.cian.ru/sale/flat/301375247/;Долгопрудный;sale;flat;2;3;2;49.4;10350000;;Первомайская ;29;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/286645004/;Долгопрудный;sale;flat;7;23;3;64.5;13798140;;;;Водники;Бригантина ЖК
На Петровке;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306677728/;Долгопрудный;sale;flat;3;18;3;84.4;18700000;;Московская ;58к3;Водники;Московские водники
АЛЬЯНС;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308524393/;Долгопрудный;sale;flat;13;24;2;52.0;10600000;;Парковая ;46к1;Водники;Бригантина
