author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Анастасия Иванова;realtor;https://www.cian.ru/sale/flat/308201042/;Москва;sale;flat;3;27;4;102.0;58700000;Раменки; Янковского;1к1;Аминьевская;Событие
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299881732/;Москва;sale;flat;11;13;3;90.0;59900000;Беговой;Ленинградский проспект;35С2;Петровский Парк;Квартал апартаментов Искра-Парк
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306445358/;Москва;sale;flat;22;22;5;200.0;64900000;Кунцево; Академика Павлова;24;Молодёжная;АкадемикА
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308346046/;Москва;sale;flat;13;28;3;100.0;65000000;Филевский парк; Василисы Кожиной;13;Парк Победы;Квартал апартаментов Match Point
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/283279109/;Москва;sale;flat;13;13;3;103.0;66000000;Замоскворечье;3-й Люсиновский переулок;1С1;Серпуховская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299478558/;Москва;sale;flat;2;10;2;64.75;70000000;Дорогомилово; Братьев Фонченко;;Парк Победы;Victory Park Residences
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/307871009/;Москва;sale;flat;19;24;2;55.3;70000000;Беговой;Верхняя ;20к1;Белорусская;Суббота
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304364690/;Москва;sale;flat;2;5;4;177.0;70000000;Тверской; Петровка;26С3;Пушкинская;La Rue
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308089669/;Москва;sale;flat;4;6;3;75.0;71250000;Хамовники;переулок Плотников;10;Смоленская;
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307673870/;Москва;sale;flat;12;18;3;117.5;72000000;Красносельский;Басманный переулок;5;Комсомольская;Басманный 5
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/307525684/;Москва;sale;flat;8;22;4;220.0;74900000;Хорошево-Мневники;проспект Маршала Жукова;78к5;Бульвар Генерала Карбышева;Континенталь
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306655775/;Москва;sale;flat;6;6;3;135.0;76900000;Красносельский;Уланский переулок;14кБ;Красные ворота;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302610642/;Москва;sale;flat;34;40;4;156.0;81500000;Раменки;Мосфильмовская ;70к1;Минская;Воробьевы Горы
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/308524612/;Москва;sale;flat;2;6;5;166.6;82000000;Кунцево;Молодогвардейская ;4К1;Кунцевская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304409967/;Москва;sale;flat;25;36;3;105.0;89000000;Хорошево-Мневники;Шелепихинская набережная;34к3зд6;Шелепиха;Сердце Столицы
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306868916/;Москва;sale;flat;7;21;2;73.0;91250000;Пресненский; Сергея Макеева;9к4;Улица 1905 года;RedSide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308784884/;Москва;sale;flat;2;9;2;57.14;93000000;Таганский;Большой Николоворобинский переулок;9к12;Китай-город;Дом NV/9
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306272049/;Москва;sale;flat;5;8;3;130.0;110000000;Замоскворечье; Малая Ордынка;3;Третьяковская;
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308210204/;Москва;sale;flat;16;22;4;135.0;110000000;Якиманка;Мытная ;40к1;Серпуховская;Sky House
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/298470408/;Москва;sale;flat;5;21;5;230.0;120000000;Пресненский;Большой Тишинский переулок;10С1;Баррикадная;Большой Тишинский переулок, 10с1
REPLACE;real_estate_agent;https://www.cian.ru/sale/flat/248655661/;Москва;sale;flat;21;21;5;370.0;130000000;Раменки;Минская ;1ГК2;Ломоносовский проспект;Золотые Ключи 2
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/304837627/;Москва;sale;flat;5;5;4;229.9;140000000;Пресненский; Спиридоновка;27/24;Баррикадная;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/280116651/;Москва;sale;flat;62;77;2;111.0;149000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/305638927/;Москва;sale;flat;4;8;3;134.0;153250000;Красносельский;Милютинский переулок;3;Лубянка;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/304729792/;Москва;sale;flat;14;22;-1;180.0;155000000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
VIСTORY GROUP;real_estate_agent;https://www.cian.ru/sale/flat/308550902/;Москва;sale;flat;4;9;2;99.4;154000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304113474/;Москва;sale;flat;34;79;5;181.8;165000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299068875/;Москва;sale;flat;2;12;5;195.1;175000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305596218/;Москва;sale;flat;3;9;2;148.5;189000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285074040/;Москва;sale;flat;8;14;3;210.0;200000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/300891173/;Москва;sale;flat;34;57;4;180.0;201794039;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/299601413/;Москва;sale;flat;10;10;4;212.0;250000000;Тверской;Страстной бульвар;10к1;Пушкинская;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301494930/;Москва;sale;flat;2;6;4;160.0;313204800;Хамовники;переулок Коробейников;1;Парк Культуры;Кристалл Хаус
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/308138114/;Москва;sale;flat;3;4;3;136.6;340000000;Якиманка;Софийская набережная;10;Боровицкая;Золотой, жилой квартал
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307701788/;Москва;sale;flat;6;8;4;233.2;430000000;Хамовники;переулок Хилков;1;Парк Культуры;Парк Палас
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/305590523/;Москва;sale;flat;2;9;4;220.0;850000000;Хамовники; Ефремова;19к1;;Knightsbridge Private Park
ID 98396578;homeowner;https://www.cian.ru/sale/flat/308733860/;Москва;sale;flat;1;9;2;45.0;17800000;Красносельский;Протопоповский переулок;38;Площадь трёх вокзалов;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302438510/;Москва;sale;flat;20;85;1;34.46;27600000;Пресненский;Краснопресненская набережная;;Москва-Сити;Дом Дау
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303476382/;Москва;sale;flat;8;20;3;58.96;28000000;Даниловский;Автозаводская ;23с931к3;Технопарк;WOW
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308009678/;Москва;sale;flat;12;17;2;57.8;27927000;Раменки;Мичуринский проспект;21К1;Раменки;
Ольга Медведева;realtor;https://www.cian.ru/sale/flat/308794411/;Москва;sale;flat;4;31;2;71.0;31100000;Марфино;Ботаническая ;29Ак3;Владыкино;VERY
TWEED;real_estate_agent;https://www.cian.ru/sale/flat/307461277/;Москва;sale;flat;24;51;3;82.1;32000000;Пресненский;Шмитовский проезд;39к5;Шелепиха;Headliner
Optima Development;developer;https://www.cian.ru/sale/flat/301041605/;Москва;sale;flat;2;41;2;48.0;33762426;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
ID 447844;homeowner;https://www.cian.ru/sale/flat/303627675/;Москва;sale;flat;7;23;3;95.2;37900000;Сокол;Факультетский переулок;6;Стрешнево;
Юлия Иванова;realtor;https://www.cian.ru/sale/flat/308326285/;Москва;sale;flat;5;12;3;72.0;43500000;Даниловский; Виктора Маслова;2;Автозаводская;RiverSky
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308099078/;Москва;sale;flat;21;21;4;106.0;70000000;Лефортово;проезд Невельского;3к2;Авиамоторная;Символ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303022746/;Москва;sale;flat;4;14;2;119.3;105000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301895333/;Москва;sale;flat;10;21;-1;178.0;106000800;Пресненский;Большой Тишинский переулок;10С1;Баррикадная;Большой Тишинский переулок, 10с1
Prime;real_estate_agent;https://www.cian.ru/sale/flat/305150347/;Москва;sale;flat;44;44;3;136.0;150000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/307947777/;Москва;sale;flat;41;41;4;165.0;230000000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305920240/;Москва;sale;flat;4;6;5;222.8;245080000;Раменки;Минская ;2Вк3;Минская;Снегири Эко
333980;real_estate_agent;https://www.cian.ru/sale/flat/296011416/;Москва;sale;flat;13;14;-1;454.0;298000000;Раменки;Ломоносовский проспект;25к5;Университет;Dominion
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106392/;Москва;sale;flat;4;6;3;219.4;316240088;Хамовники; Остоженка;11;Кропоткинская;Остоженка 11
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307452718/;Москва;sale;flat;4;4;-1;244.1;336323399;Раменки;Минская ;2Вк6;Минская;Снегири Эко
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/306841214/;Москва;sale;flat;18;21;4;272.0;400000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/299884090/;Москва;sale;flat;5;6;-1;370.1;412500000;Раменки;Минская ;2Вк3;Минская;Снегири Эко
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/280950375/;Москва;sale;flat;2;4;3;219.0;589238596;Хамовники;Пречистенская набережная;5;Парк Культуры;Кленовый DOM
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/306924872/;Москва;sale;flat;10;12;2;44.0;10800000;Дмитровский;Клязьминская ;4;Грачёвская;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Москва;sale;flat;5;38;1;39.8;20500000;Останкинский; Вильгельма Пика;;Улица Сергея Эйзенштейна;Режиссёр
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307707684/;Москва;sale;flat;7;9;2;44.8;25000000;Даниловский;Автозаводская ;23с931к3;Технопарк;WOW
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307135110/;Москва;sale;flat;9;20;3;64.56;26640000;Даниловский;Автозаводская ;26;Тульская;FORST
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305039805/;Москва;sale;flat;7;26;2;62.2;29900000;Марфино; Академика Королева;21;Останкино;Дом Достижение
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/298606833/;Москва;sale;flat;24;38;-1;107.0;31000000;Ростокино;проспект Мира;188Бк4;Ростокино;Триколор
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307851608/;Москва;sale;flat;4;23;2;62.5;31300000;Хорошево-Мневники; Нижние Мневники;9;Терехово ;Остров
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307850573/;Москва;sale;flat;2;23;2;62.7;31500000;Хорошево-Мневники; Нижние Мневники;16к3;Терехово ;Остров
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307970298/;Москва;sale;flat;14;32;1;44.0;32500000;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307131828/;Москва;sale;flat;11;20;4;90.71;32500000;Даниловский;Автозаводская ;26;Тульская;FORST
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306154714/;Москва;sale;flat;4;16;2;71.0;32900000;Можайский; Багрицкого;18;Кунцевская;Свой
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/303793387/;Москва;sale;flat;9;15;2;61.45;33158420;Даниловский;Автозаводская ;24К1;Тульская;Дом на набережной INSIDER
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Москва;sale;flat;4;13;1;43.6;37500000;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307956811/;Москва;sale;flat;12;24;2;68.0;39800000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308067558/;Москва;sale;flat;19;29;3;79.54;41900000;Марфино; Академика Королева;21;Останкино;Дом Достижение
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299237057/;Москва;sale;flat;13;21;3;61.0;42800000;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/308345048/;Москва;sale;flat;18;23;2;86.9;43000000;Хорошево-Мневники;проезд Проектируемый № 1074;1;Терехово ;Остров
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308888845/;Москва;sale;flat;10;12;2;78.6;44900000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308142340/;Москва;sale;flat;10;21;3;69.0;44900000;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305856289/;Москва;sale;flat;11;26;3;85.0;45000000;Лефортово; Крузенштерна;12к3;Авиамоторная;Символ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307785166/;Москва;sale;flat;17;41;3;68.0;46300000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308017227/;Москва;sale;flat;3;24;2;78.0;46900000;Раменки;Мичуринский проспект;7;Ломоносовский проспект;Квартал Шуваловский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709765/;Москва;sale;flat;48;50;4;98.5;47280000;Раменки; Лобачевского;118Ас14;Аминьевская;Событие
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308953933/;Москва;sale;flat;10;12;3;85.8;48000000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304687237/;Москва;sale;flat;12;23;3;108.2;52000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307460209/;Москва;sale;flat;7;24;3;66.0;54500000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709767/;Москва;sale;flat;16;24;4;110.9;58500000;Тропарево-Никулино;проспект Вернадского;80;Юго-Западная;Клубный дом Full House
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306458673/;Москва;sale;flat;3;14;2;62.0;63000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305692659/;Москва;sale;flat;5;30;3;135.0;69000000;Южнопортовый; 1-я Машиностроения;10;Дубровка;Дубровская Слобода
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308072807/;Москва;sale;flat;36;66;2;74.0;81000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/301716912/;Москва;sale;flat;48;64;2;104.0;98100000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307133036/;Москва;sale;flat;20;20;5;184.08;99400000;Даниловский;Автозаводская ;26;Тульская;FORST
Андрей Давыдов;realtor;https://www.cian.ru/sale/flat/299878239/;Москва;sale;flat;3;11;3;116.69;116690000;Дорогомилово;;3к4;Парк Победы;Виктори Парк Резиденсез ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304960881/;Москва;sale;flat;7;8;2;75.0;132550000;Якиманка;Софийская набережная;34;Новокузнецкая;Софийский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305623257/;Москва;sale;flat;23;64;-1;219.0;136787531;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307584637/;Москва;sale;flat;13;21;2;130.0;155000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/307710284/;Москва;sale;flat;3;8;4;131.6;165000000;Замоскворечье; Малая Ордынка;19;Третьяковская;Малая Ордынка 19
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950487/;Москва;sale;flat;14;24;4;180.0;180000000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308719407/;Москва;sale;flat;2;8;3;150.0;215000000;Якиманка;Софийская набережная;34;Новокузнецкая;Софийский
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/307444629/;Москва;sale;flat;43;61;5;208.0;275000000;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити;Capital Towers
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306517941/;Москва;sale;flat;14;14;-1;395.0;295000000;Раменки;Ломоносовский проспект;25к5;Университет;Dominion
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307640044/;Москва;sale;flat;18;21;4;273.0;400000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
